question_id	question_rank	document_title	paragraph_index
1	1	Institute_of_technology	22
1	2	Alexander_Graham_Bell	52
1	3	Alexander_Graham_Bell	44
1	4	Jehovah%27s_Witnesses	45
1	5	Alexander_Graham_Bell	25
4	1	Glass	10
4	2	BeiDou_Navigation_Satellite_System	18
4	3	Montana	33
4	4	BeiDou_Navigation_Satellite_System	13
4	5	Glass	11
7	1	Beyoncé	16
7	2	History_of_science	53
7	3	Beyoncé	54
7	4	General_Electric	9
7	5	General_Electric	14
10	1	American_Idol	3
10	2	Roman_Republic	45
10	3	Roman_Republic	43
10	4	Roman_Republic	27
10	5	American_Idol	126
13	1	Southeast_Asia	9
13	2	Super_Nintendo_Entertainment_System	15
13	3	Szlachta	18
13	4	Chihuahua_(state)	62
13	5	Pub	46
16	1	Atlantic_City,_New_Jersey	24
16	2	Richmond,_Virginia	55
16	3	Comcast	12
16	4	Oklahoma_City	11
16	5	Comcast	22
19	1	Xbox_360	25
19	2	Xbox_360	13
19	3	Xbox_360	14
19	4	Xbox_360	5
19	5	Dwight_D._Eisenhower	64
22	1	Neptune	28
22	2	Hydrogen	41
22	3	Marshall_Islands	33
22	4	Hydrogen	33
22	5	Canadian_football	18
25	1	Heian_period	6
25	2	Royal_Dutch_Shell	19
25	3	Dialect	19
25	4	Royal_Dutch_Shell	17
25	5	Royal_Dutch_Shell	18
28	1	Culture	15
28	2	New_Delhi	50
28	3	Houston	31
28	4	New_Delhi	20
28	5	New_Delhi	11
31	1	Friedrich_Hayek	20
31	2	Friedrich_Hayek	22
31	3	Textual_criticism	23
31	4	Friedrich_Hayek	12
31	5	Somerset	23
34	1	Atlantic_City,_New_Jersey	8
34	2	Kathmandu	21
34	3	FC_Barcelona	39
34	4	New_York_City	30
34	5	Black_people	38
37	1	Federal_Bureau_of_Investigation	26
37	2	Federal_Bureau_of_Investigation	39
37	3	Federal_Bureau_of_Investigation	17
37	4	Database	30
37	5	Paper	29
40	1	Chihuahua_(state)	28
40	2	Greece	38
40	3	Somalis	64
40	4	Planck_constant	11
40	5	Chihuahua_(state)	31
43	1	Software_testing	9
43	2	Anthropology	23
43	3	Anthropology	0
43	4	Anthropology	6
43	5	Software_testing	8
46	1	Richard_Feynman	1
46	2	Nintendo_Entertainment_System	31
46	3	Phonology	12
46	4	Incandescent_light_bulb	27
46	5	Mandolin	4
49	1	Pub	51
49	2	Swaziland	15
49	3	Pub	27
49	4	Pub	28
49	5	Indigenous_peoples_of_the_Americas	46
52	1	BeiDou_Navigation_Satellite_System	12
52	2	BeiDou_Navigation_Satellite_System	7
52	3	BeiDou_Navigation_Satellite_System	2
52	4	BeiDou_Navigation_Satellite_System	1
52	5	BeiDou_Navigation_Satellite_System	29
55	1	Vacuum	13
55	2	Sony_Music_Entertainment	17
55	3	Comprehensive_school	6
55	4	Sony_Music_Entertainment	24
55	5	Mexico_City	75
58	1	Bacteria	14
58	2	Republic_of_the_Congo	0
58	3	Uranium	28
58	4	Republic_of_the_Congo	5
58	5	Republic_of_the_Congo	1
61	1	Gramophone_record	28
61	2	Gramophone_record	29
61	3	Boston	1
61	4	Gramophone_record	19
61	5	Gramophone_record	27
64	1	Tajikistan	13
64	2	Space_Race	50
64	3	Russian_Soviet_Federative_Socialist_Republic	20
64	4	Space_Race	40
64	5	Russian_Soviet_Federative_Socialist_Republic	16
67	1	Steven_Spielberg	28
67	2	Child_labour	39
67	3	Aircraft_carrier	25
67	4	Tuvalu	13
67	5	Protestantism	32
70	1	Philadelphia	3
70	2	Richmond,_Virginia	33
70	3	Rule_of_law	17
70	4	Genome	23
70	5	Elizabeth_II	42
73	1	Dog	50
73	2	Dog	73
73	3	The_Blitz	4
73	4	Dog	71
73	5	The_Blitz	17
76	1	Miami	41
76	2	Digimon	19
76	3	Florida	15
76	4	Florida	4
76	5	Alloy	5
79	1	Education	31
79	2	Richard_Feynman	19
79	3	John_von_Neumann	52
79	4	Sichuan	7
79	5	Sahara	19
82	1	Canadian_Armed_Forces	41
82	2	Videoconferencing	11
82	3	Software_testing	28
82	4	Department_store	10
82	5	Southampton	3
85	1	Dutch_language	8
85	2	Dutch_language	9
85	3	Somalis	39
85	4	Dog	28
85	5	Old_English	6
88	1	Boston	9
88	2	Boston	38
88	3	Boston	1
88	4	Boston	10
88	5	Boston	46
91	1	North_Carolina	55
91	2	2008_Summer_Olympics_torch_relay	8
91	3	Anti-aircraft_warfare	3
91	4	Santa_Monica,_California	3
91	5	Idealism	18
94	1	Ministry_of_Defence_(United_Kingdom)	4
94	2	Montevideo	2
94	3	Spanish_language_in_the_United_States	0
94	4	Santa_Monica,_California	3
94	5	Guinea-Bissau	34
97	1	Diarrhea	13
97	2	Diarrhea	14
97	3	Anthropology	24
97	4	Neptune	28
97	5	Diarrhea	7
100	1	Windows_8	22
100	2	Tucson,_Arizona	18
100	3	Windows_8	19
100	4	Beer	25
100	5	USB	36
103	1	Brigham_Young_University	32
103	2	East_Prussia	6
103	3	Dwight_D._Eisenhower	62
103	4	East_Prussia	2
103	5	High-definition_television	27
106	1	Dominican_Order	38
106	2	Endangered_Species_Act	25
106	3	The_Times	1
106	4	On_the_Origin_of_Species	39
106	5	Brain	14
109	1	Sahara	19
109	2	Sahara	1
109	3	Chihuahua_(state)	62
109	4	Arnold_Schwarzenegger	72
109	5	Pub	46
112	1	Zinc	2
112	2	Zinc	21
112	3	Zinc	33
112	4	Zinc	31
112	5	Zinc	24
115	1	Hunting	34
115	2	Marshall_Islands	49
115	3	Great_Plains	9
115	4	List_of_numbered_streets_in_Manhattan	0
115	5	Bern	27
118	1	Nigeria	47
118	2	Strasbourg	13
118	3	Nigeria	0
118	4	Seven_Years%27_War	52
118	5	Financial_crisis_of_2007%E2%80%9308	19
121	1	Macintosh	28
121	2	Alexander_Graham_Bell	53
121	3	Macintosh	3
121	4	London	56
121	5	Macintosh	17
124	1	Bern	13
124	2	The_Bronx	52
124	3	Muammar_Gaddafi	75
124	4	Capacitor	26
124	5	Anthropology	29
127	1	Capacitor	7
127	2	Hyderabad	7
127	3	Capacitor	0
127	4	Tucson,_Arizona	18
127	5	Capacitor	18
130	1	The_Bronx	52
130	2	Seattle	34
130	3	The_Bronx	20
130	4	Montana	15
130	5	The_Bronx	4
133	1	Gregorian_calendar	16
133	2	Nanjing	33
133	3	United_States_dollar	4
133	4	Richmond,_Virginia	40
133	5	Estonian_language	27
136	1	Hunter-gatherer	23
136	2	Mammal	2
136	3	Pacific_War	24
136	4	Spectre_(2015_film)	13
136	5	Hunter-gatherer	13
139	1	Athanasius_of_Alexandria	0
139	2	Athanasius_of_Alexandria	10
139	3	Athanasius_of_Alexandria	27
139	4	Computer	62
139	5	Athanasius_of_Alexandria	13
142	1	Comics	16
142	2	Sahara	20
142	3	Crimean_War	22
142	4	East_India_Company	6
142	5	Estonia	30
145	1	Kathmandu	16
145	2	Buddhism	114
145	3	Kathmandu	50
145	4	Buddhism	96
145	5	Kathmandu	1
148	1	Somerset	23
148	2	Somerset	24
148	3	Rajasthan	12
148	4	Somerset	2
148	5	Royal_Institute_of_British_Architects	5
151	1	American_Idol	58
151	2	Neptune	28
151	3	Neptune	0
151	4	Neptune	13
151	5	Portugal	58
154	1	Planck_constant	10
154	2	Hydrogen	7
154	3	Charleston,_South_Carolina	8
154	4	Beyoncé	37
154	5	Pesticide	18
157	1	Comics	26
157	2	Anthropology	24
157	3	Quran	23
157	4	Gamal_Abdel_Nasser	24
157	5	Architecture	20
160	1	Political_philosophy	17
160	2	Washington_University_in_St._Louis	17
160	3	Czech_language	21
160	4	Presbyterianism	15
160	5	Czech_language	22
163	1	Philosophy_of_space_and_time	7
163	2	Philosophy_of_space_and_time	9
163	3	Macintosh	33
163	4	Pub	10
163	5	Adult_contemporary_music	7
166	1	Liberal_Party_of_Australia	18
166	2	Israel	43
166	3	History_of_science	21
166	4	Translation	10
166	5	Han_dynasty	36
169	1	Super_Nintendo_Entertainment_System	15
169	2	Muammar_Gaddafi	68
169	3	Muammar_Gaddafi	51
169	4	Muammar_Gaddafi	56
169	5	Szlachta	18
172	1	Samurai	17
172	2	Chihuahua_(state)	39
172	3	Near_East	19
172	4	Pub	48
172	5	Plymouth	53
175	1	Florida	34
175	2	Szlachta	31
175	3	Oklahoma_City	79
175	4	Genocide	6
175	5	Pub	12
178	1	New_Haven,_Connecticut	43
178	2	New_Haven,_Connecticut	42
178	3	New_Haven,_Connecticut	39
178	4	New_Haven,_Connecticut	10
178	5	Elevator	22
181	1	The_Bronx	4
181	2	The_Bronx	6
181	3	Frédéric_Chopin	60
181	4	The_Bronx	52
181	5	The_Bronx	23
184	1	Russian_Soviet_Federative_Socialist_Republic	2
184	2	Ministry_of_Defence_(United_Kingdom)	8
184	3	Russian_Soviet_Federative_Socialist_Republic	14
184	4	Black_people	31
184	5	Anti-aircraft_warfare	21
187	1	Catalan_language	30
187	2	Catalan_language	43
187	3	Catalan_language	20
187	4	Department_store	38
187	5	Georgian_architecture	20
190	1	Cotton	15
190	2	Cotton	16
190	3	Cotton	26
190	4	Cotton	17
190	5	Cotton	27
193	1	Sahara	1
193	2	Sahara	19
193	3	Arnold_Schwarzenegger	72
193	4	Chihuahua_(state)	62
193	5	Lighting	51
196	1	John,_King_of_England	75
196	2	Zhejiang	35
196	3	John,_King_of_England	16
196	4	Infection	28
196	5	John,_King_of_England	44
199	1	Film_speed	7
199	2	PlayStation_3	28
199	3	San_Diego	27
199	4	Oklahoma_City	69
199	5	Film_speed	8
202	1	Time	24
202	2	Mandolin	7
202	3	Mandolin	28
202	4	Nutrition	48
202	5	Mandolin	16
205	1	Westminster_Abbey	34
205	2	Ministry_of_Defence_(United_Kingdom)	4
205	3	Somalis	64
205	4	Royal_assent	34
205	5	Law_of_the_United_States	4
208	1	Department_store	31
208	2	Great_Plains	0
208	3	Paper	4
208	4	Plymouth	29
208	5	Geography_of_the_United_States	5
211	1	High-definition_television	12
211	2	High-definition_television	35
211	3	High-definition_television	3
211	4	Philadelphia	48
211	5	High-definition_television	11
214	1	Brigham_Young_University	9
214	2	Brigham_Young_University	10
214	3	Brigham_Young_University	32
214	4	Brigham_Young_University	30
214	5	Philadelphia	35
217	1	Israel	98
217	2	Cubism	3
217	3	Cubism	30
217	4	Cubism	34
217	5	Cubism	28
220	1	London	39
220	2	Clothing	17
220	3	University_of_Kansas	0
220	4	Transistor	2
220	5	Gene	33
223	1	Egypt	59
223	2	Classical_music	24
223	3	Lighting	32
223	4	Gamal_Abdel_Nasser	27
223	5	Elevator	49
226	1	Pub	51
226	2	Pub	76
226	3	Pub	86
226	4	Eton_College	33
226	5	Comprehensive_school	1
229	1	Crucifixion_of_Jesus	7
229	2	Alloy	3
229	3	Raleigh,_North_Carolina	23
229	4	Dominican_Order	38
229	5	Kathmandu	8
232	1	Pesticide	17
232	2	North_Carolina	20
232	3	North_Carolina	9
232	4	Pesticide	14
232	5	Pesticide	22
235	1	List_of_numbered_streets_in_Manhattan	0
235	2	List_of_numbered_streets_in_Manhattan	1
235	3	Renewable_energy_commercialization	12
235	4	Muslim_world	14
235	5	List_of_numbered_streets_in_Manhattan	3
238	1	Black_people	10
238	2	Montana	24
238	3	The_Legend_of_Zelda:_Twilight_Princess	21
238	4	University_of_Notre_Dame	20
238	5	Southampton	89
241	1	USB	26
241	2	USB	2
241	3	Nanjing	48
241	4	Nintendo_Entertainment_System	38
241	5	Nanjing	2
244	1	Department_store	22
244	2	Strasbourg	29
244	3	Insect	54
244	4	Pitch_(music)	9
244	5	Somerset	16
247	1	Spanish_language_in_the_United_States	9
247	2	Yale_University	39
247	3	University_of_Kansas	1
247	4	To_Kill_a_Mockingbird	15
247	5	Renewable_energy_commercialization	34
250	1	Plymouth	70
250	2	Plymouth	7
250	3	Tuvalu	8
250	4	Plymouth	78
250	5	Russian_Soviet_Federative_Socialist_Republic	29
253	1	Airport	6
253	2	Montana	13
253	3	Samurai	18
253	4	New_Delhi	25
253	5	Samurai	49
256	1	Association_football	2
256	2	University	11
256	3	University_of_Notre_Dame	48
256	4	Mexico_City	68
256	5	Arena_Football_League	0
259	1	Sahara	19
259	2	Cork_(city)	11
259	3	Canadian_football	11
259	4	Somalis	39
259	5	MP3	23
262	1	Emotion	33
262	2	East_Prussia	6
262	3	East_Prussia	13
262	4	East_Prussia	1
262	5	North_Carolina	55
265	1	Saint_Helena	78
265	2	Roman_Republic	63
265	3	Computer_security	8
265	4	Dog	16
265	5	Frédéric_Chopin	67
268	1	St._John%27s,_Newfoundland_and_Labrador	22
268	2	Lighting	2
268	3	Lighting	25
268	4	Lighting	55
268	5	Qing_dynasty	65
271	1	Federal_Bureau_of_Investigation	22
271	2	Pub	57
271	3	Dog	14
271	4	Mexico_City	0
271	5	Cotton	4
274	1	Buddhism	10
274	2	Universal_Studios	33
274	3	Plymouth	74
274	4	Buddhism	64
274	5	Eritrea	25
277	1	Paris	58
277	2	Geological_history_of_Earth	15
277	3	Plymouth	72
277	4	Mesozoic	13
277	5	Ann_Arbor,_Michigan	2
280	1	Plymouth	29
280	2	Nutrition	20
280	3	Anti-aircraft_warfare	40
280	4	Culture	15
280	5	Culture	22
283	1	Korean_War	65
283	2	Pub	51
